Temperature,Average Magnetisation,Magnetic Susceptibility,Average Energy,Heat Capacity
3.000000000000000000e+00,nan,nan,-7.264400000000000546e+01,3.001436266666658303e-01
2.899999999999999911e+00,nan,nan,-7.593200000000000216e+01,3.349291034482760332e-01
2.799999999999999822e+00,nan,nan,-7.979600000000000648e+01,3.741305918367338057e-01
2.699999999999999734e+00,nan,nan,-8.190000000000000568e+01,3.796844993141277880e-01
2.599999999999999645e+00,nan,nan,-8.713200000000000500e+01,3.986251124260352108e-01
2.499999999999999556e+00,nan,nan,-9.058799999999999386e+01,4.351588096000023054e-01
2.399999999999999467e+00,nan,nan,-9.434799999999999898e+01,4.287897500000025786e-01
2.299999999999999378e+00,nan,nan,-1.002800000000000011e+02,4.315795841209825734e-01
2.199999999999999289e+00,nan,nan,-1.035999999999999943e+02,4.851570247933901792e-01
2.099999999999999201e+00,nan,nan,-1.089959999999999951e+02,4.340317097505702049e-01
1.999999999999999112e+00,nan,nan,-1.131520000000000010e+02,4.790022400000001901e-01
1.899999999999999023e+00,nan,nan,-1.185319999999999965e+02,4.672492409972321403e-01
1.799999999999998934e+00,nan,nan,-1.229279999999999973e+02,4.736877037037040550e-01
1.699999999999998845e+00,nan,nan,-1.283839999999999861e+02,4.508115709342758737e-01
1.599999999999998757e+00,nan,nan,-1.328360000000000127e+02,4.225824374999838096e-01
1.499999999999998668e+00,nan,nan,-1.364559999999999889e+02,3.864891733333455925e-01
1.399999999999998579e+00,nan,nan,-1.402560000000000002e+02,3.794207346938908154e-01
1.299999999999998490e+00,nan,nan,-1.433919999999999959e+02,2.753984378698364210e-01
1.199999999999998401e+00,nan,nan,-1.466440000000000055e+02,2.691198888888828855e-01
1.099999999999998312e+00,nan,nan,-1.492719999999999914e+02,2.071902148760459972e-01
9.999999999999982236e-01,nan,nan,-1.504679999999999893e+02,2.134897600000484341e-01
